gid,nom,com_nom
1887,CD - US CD de NEUVIC / Maison d'Arrêt de Périgueux,Périgueux
1886,MA - US PERIGUEUX / Maison d'Arrêt de Périgueux,Périgueux
1898,MA - Unité Sanitaire en Milieu Pénitentiaire du CH Carcassonne / Maison d'Arrêt de Carcassonne,Carcassonne
1899,MA - US / Maison d'Arrêt de Rodez / Maison d'Arrêt de Rodez,Druelle Balsac
1901,CP - US de la Maison d'Arret Seysses / CHU Toulouse / Centre de Détention de Muret,Muret
1902,CD - US du Centre de Détention de Muret / CHU Toulouse / Centre de Détention de Muret,Muret
1903,CP - US CENTRE HOSPITALIER DE BEZIERS / Centre Pénitentiaire de Béziers,Béziers
1891,0 - US / Maison d'Arrêt d'Agen,Agen
1894,MA - USMP de PAU / Maison d'Arrêt de Pau,Pau
1888,CP - US de Gradignan / Centre Pénitentiaire Bordeaux-Gradignan,Gradignan
990099176,Tanzanie,Dodoma
990099178,Tchéquie,Prague
1893,MA - US CH COTE BASQUE / Maison d'Arrêt de Bayonne,Bayonne
1904,CP - US de Villeneuve Les Maguelone / Centre Pénitentiaire de Villeneuve-les-Maguelone,Villeneuve-lès-Maguelone
1905,MA - US / Maison d'Arrêt de Mende,Mende
1906,CP - Hôpitaux de Lannemezan / Centre Pénitentiaire de Lannemezan,Lannemezan
1907,MA - TARBES / Centre Pénitentiaire de Lannemezan,Lannemezan
1910,EPM - US EPM LAVAUR / Centre de Détention de Saint-Sulpice-la-Pointe,Saint-Sulpice-la-Pointe
1911,CD - US SAINT SULPICE / Centre de Détention de Saint-Sulpice-la-Pointe,Saint-Sulpice-la-Pointe
1912,MA - US de Montauban / Maison d'Arrêt de Montauban,Montauban
1913,MA - US UF 2760 CH DIGNE / Maison d'Arrêt de Digne-les-Bains,Digne-les-Bains
1914,MA - US Gap / Maison d'Arrêt de Gap,Gap
1915,MA - US GRASSE / Maison d'Arrêt de Grasse,Grasse
1916,MA - Nice / Maison d'Arrêt de Nice,Nice
1917,CP - LUYNES / Centre Pénitentiaire d'Aix-Luynes,Aix-en-Provence
1918,CD - US de Salon-de-Provence / Centre de Détention de Salon-de-Provence,Salon-de-Provence
1919,EPM - US US-SMPR-CSAPA Etablissement pénitentiaire pour Mineur de la Valentine / Etablissement spécialisé pour mineurs de Marseille,Marseille
1921,SAS - US SAS / Etablissement spécialisé pour mineurs de Marseille,Marseille
1922,MC - USMP MC Arles / Maison Centrale d'Arles,Arles
1923,CD - USMP CD TARASCON / Maison Centrale d'Arles,Arles
990099179,Thaïlande,Bangkok
1926,CP - US le PONTET AVIGNON / Centre Pénitentiaire d'Avignon-le Pontet,Le Pontet
1927, - BASSE TERRE / Maison d'Arrêt de Basse-Terre,Basse-Terre
1815,MA - US CHAUMONT / Maison d'Arrêt de Chaumont,Chaumont
1930,CP - US DU CENTRE PÉNITENTIAIRE DE RÉMIRE-MONTJOLY / Centre Pénitentiaire de Remire-Montjoly,Remire-Montjoly
990099180,Timor oriental,Dili
1932,CD - US Centre pénitentiaire du Port / Maison d'Arrêt de Saint-Pierre-de-la-Réunion,Saint-Pierre
1933,CP - US CP  Saint-Pierre / Maison d'Arrêt de Saint-Pierre-de-la-Réunion,Saint-Pierre
1934,CP - Majicavo Lamir / Maison d'arrêt de Majicavo Lamir,Koungou
2219,Grand centre LA ROCHE SUR YON (en cours de déclaration) ,Mouilleron-le-Captif
2601,Centre de vaccination Le Chesnay-Rocquencourt,Le Chesnay-Rocquencourt
990099181,Togo,Lomé
1892,CD - Centre de Détention d'Eysses / Centre de Détention d'Eysses-Villeneuve-sur-Lot,Villeneuve-sur-Lot
990099182,Tonga,Nuku'alofa
1931,CP - US Saint-Denis / Maison d'Arrêt de Saint-Pierre-de-la-Réunion,Saint-Pierre
2232,Grand centre 71N,Chalon-sur-Saône
826,Centre de vaccination de PASSY - Parvis des Fiz,Passy
2233,Grand centre 71S,Mâcon
2234,Grand centre 39,Lons-le-Saunier
990099183,Trinité-et-Tobago,Port-d'Espagne (Port of Spain)
2237,Grand centre 90,Belfort
990099184,Tunisie,Tunis
990099185,Turkménistan,Achgabat
990099186,Turquie,Ankara
990099187,Tuvalu,Vaiaku
990099188,Ukraine,Kiev
1367,CV éphémère - Lignières,Lignières
990099191,Vatican,Vatican
990099189,Uruguay,Montévidéo
2146,Grand centre - en attente (18),Bourges
990099190,Vanuatu,Port-Vila
587,Les Andelys : salle des fêtes,Les Andelys
990099192,Vénézuéla,Caracas
990099193,Vietnam,Hanoï
990099194,Yémen,Sanaa
990099195,Zambie,Lusaka
990099196,Zimbabwé,Hararé
2488,Pôle militaire de vaccination – Mérignac – Pin Galant ,Mérignac
1781,MA - US de la Maison d'Arrêt de Bonneville / Maison d'Arrêt de Bonneville,Bonneville
3177,Centre Saint Martial,Limoges
2417,Centre de vaccination éphémère de Villers en Arthies ,Villers-en-Arthies
2266,Très grand centre,evry
2418,Equipe mobile Métropôle de Lyon,Lyon
880,Centre de vaccination Stade Marcel Picot,Tomblaine
2703,Centre vaccination CAP 3000,Saint-Laurent-du-Var
2711,Evry-préfecture/cité administrative CVAE,Évry-Courcouronnes
2271,Grand centre de vaccination de la Grande Halle d'Auvergne,Cournon-d'Auvergne
984,Clinique Esquirol Saint Hilaire,Agen
2422,Centre de vaccination - en attente (18),Bourges
172,CH AGEN,Agen
2423,Centre de Vaccination du Groupement OUEST : Vaccin OUEST,Toulon
2424,Centre de Vaccination du Groupement CENTRE : Vaccin CENTRE,Le Luc
3027,"Centre de vaccination - CPTS Littoral en Nord, SPORTICA Gravelines",Gravelines
2427,Ecole maternelle Jean de la Fontaine - Centre de vaccination Châteaudun,Châteaudun
2714,DIJON - Toison d'Or - Porte 8,Dijon
2269,GRAND CENTRE - BORDEAUX - PARC DES EXPOSITIONS,Bordeaux
873,CHENOVE Salle des fêtes,Chenôve
2221,CENTRE DE VACCINATION DU GRAND CUBZAGUAIS,Saint-André-de-Cubzac
2428,Dpt 35 - Opérations éphémères non rattachées à un CDV,Rennes
2277,Maison de santé pluridisciplinaire de Salignac-Eyvigues,Salignac-Eyvigues
2702,Evry Agora Centre commercial ,Évry-Courcouronnes
2598,Centre de vaccination de l'URPS-ML,Les Abymes
2429,Dpt 22 - Opérations éphémères non rattachées à un CDV,Saint-Brieuc
2432,Dpt 56 - Opérations éphémères non rattachées à un CDV,Vannes
2577,Vaccinobus76,Rouen
2144,Equipe mobile de vaccination - opération Gabarret,Gabarret
829,Centre de vaccination de l'Hôpital privé de la Loire ,Saint-Étienne
1813,MA - US REIMS / Maison d'Arrêt de Reims,Reims
2581,Centre de vaccination - Hôpital Pierre Garraud HCL,Lyon
1835,CP - MAUBEUGE / Centre Pénitentiaire de Maubeuge,Maubeuge
2718,Equipe mobile Protection civile 92,Nanterre
1065,Centre de Dampierre,Dampierre
434,Caisse Primaire d'Assurance Maladie des Deux-Sèvres,NIORT
2709,Centre de vaccination - Base de loisirs Cergy-Neuville,Cergy
2559,Centre de vaccination itinérant SST2A,Ajaccio
1647,Pôle enfance jeunesse - CV Courville-sur-Eure - Gymnase communal,Courville-sur-Eure
2705,les Ulis centre commercial ,Les Ulis
1376,Centre éphémère de vaccination de Deshaies,Deshaies
2154,Bus Vaccination 92,Nanterre
40,RENNES - CHU Pontchaillou (réservé PS),Rennes
2444,QUETIGNY Espace Montessori,Quetigny
2721,Centre de vaccination de Roquemaure,Roquemaure
2206,centre de vaccination du SDIS - Bassin de Saint-Maixent-L'Ecole,Nanteuil
2166,Centre de vaccination mobile SDIS 01,Bourg-en-Bresse
2723,centre de vaccination Saint-Jean du Gard,Saint-Jean-du-Gard
2722,centre de vaccination de Saint-Jean du Gard,Saint-Jean-du-Gard
2530,UHSI MARSEILLE,Marseille
1770,MA - US MA de Grenoble-Varces / Maison d'Arrêt de Grenoble-Varces,Varces-Allières-et-Risset
2726,VACCIBUS CHALON,Chalon-sur-Saône
227,Centre de vaccination d'Epinal (CH Emile Durkheim),Épinal
180,CHU DE SAINT-ETIENNE - Hôpital Nord - Nouveaux locaux parking P3,Saint-Priest-en-Jarez
2543,UHSA NANCY LAXOU,Laxou
465,Clinique Epernay,Épernay
2724,centre de vaccination SDIS,Nîmes
1084,Centre Hospitalier Mont Saint Martin (3ème étage),Mont-Saint-Martin
3054,Centre de vaccination éphémère de Jayat - Mairie de Jayat,Jayat
3062,Relai ambulatoire de vaccination - Maison de santé de Cruseilles,Cruseilles
3053,Relai ambulatoire de vaccination - Maison médicale du Valromey,Artemare
1085,Lieu de vaccination de Revigny sur Ornain (ancien Netto),Revigny-sur-Ornain
2973,EMV Saint-Brice-Sous-Forêt ,Saint-Brice-sous-Forêt
3066,Centre éphémère de Brie-Comte-Robert,Brie-Comte-Robert
468,Centre Vaccination - COSEC Rethel,Rethel
907,Centre de vaccination - René Tys (entrée parking René Thys),Reims
1286,Lieu de vaccination de SPINCOURT - MSP,Spincourt
89,Nancy - Tour Marcel Brot,Nancy
1596,Centre de vaccination de Sainte Foy-l'Argentière- salle du club,Sainte-Foy-l'Argentière
1424,Le Neubourg - salle du haut phare,Le Neubourg
3034,Relai ambulatoire de vaccination - Maison de santé de Cran Gevrier,Cran-Gevrier
3210,Centre de vaccination Covid-19 de Doubs,Doubs
1426,SETE CENTRE DE VACCINATION ASTRA ZENECA,Sète
2556,Centre Les Haras,Strasbourg
1229,Centre de vaccination de Lingolshein,Lingolsheim
1226,Centre de vaccination de Wasselonne ,Wasselonne
1522,Centre de vaccination de Montmirail- Salle de la halle aux veaux,Montmirail
715,Centre de vaccination d'Albigny sur Saone - Centre Hospitalier gériatrique du Mont d'Or - Pavillon Violette,Albigny-sur-Saône
3068,centre de vaccination COVID19 SOSM La providence,Sens
1158,Centre de vaccination des Combrailles - Maison de santé de St Eloy Les Mines,Saint-Éloy-les-Mines
1509,Centre de Vaccination  Internationale des HUS,Strasbourg
3213,Centre de vaccination St-Ambroix Tremplin,Saint-Ambroix
2130,Centre de vaccination COVID Ad Hoc de La Motte Servolex,La Motte-Servolex
2615,"Centre de vaccination Covid-19  Salle des fêtes ""les Goménolés"" Plaine des Palmistes",La Plaine-des-Palmistes
3209,Centre de Romainville Croix-Rouge,Romainville
2218,Centre de Vaccination - ANGERS- Hotel de Ville,Angers
3069,Relais Ambulatoire de Vaccination CMES Aulnay sous Bois ,Aulnay-sous-Bois
2971,Relai ambulatoire d'Aubenas (dans les locaux MMG),Aubenas
193,Centre de vaccination du pays de Saverne,Saverne
3214,Centre vaccination pédiatrique Saint Jeannet,Saint-Jeannet
1594,MSP SAINT-GERMAINMONT,Saint-Germainmont
3221,Centre de vaccination - Commune LAGNY-LE-SEC,Lagny-le-Sec
1473,GHEF-Site CH Meaux,Meaux
2644,"Centre de vaccination éphémère de Saint-Vulbas - Centre International de Rencontres (CIR), salle polyvalente",Saint-Vulbas
1478,GHU Paris - Site Sainte Anne,Paris
3056,Relai ambulatoire de vaccination - MSP DU GUIERS,Saint-Genix-les-Villages
2415,Centre de vaccination de Rohrbach-lès-Bitche - Salle polyvalente Robert Schuman,Rohrbach-lès-Bitche
1430,Clinisud,Ajaccio
3212,Centre de vaccination pédiatrique du centre de santé de Bastia,Bastia
1463,Centre départemental de vaccination - SDIS,Le Mans
143,CH LIBOURNE,Libourne
996,CENTRE DE SANTE POLYVALENT DE LESPARRE,Lesparre-Médoc
1496,Nuits Saint Georges - Maison de Nuits,Nuits-Saint-Georges
2042,Cour Cheverny centre éphémère,Cour-Cheverny
1156,CHI de Pompey,Pompey
3057,Relai ambulatoire de vaccination - MSP Gonesse ,Gonesse
1023,MSP de Saint Vallier de Thiey,Saint-Vallier-de-Thiey
2260,Centre de vaccination de Beauvallon - Salle Van Gogh,Beauvallon
3043,Relai ambulatoire de vaccination - Maison de santé Valence Europe,Valence
2643,Centre de vaccination - Tinqueux - Ligne(s) SDIS 51,Tinqueux
2590,Centre de vaccination de Talange,Talange
1330,Hôpitaux du Mont-Blanc - Institut de formation des aides-soignants,Sallanches
1356,Dispensaire Porte Madeleine - réservé aux professionnels de santé,Orléans
1350,Equipe Mobile Résidences Autonomie et Territoire Seine-Maritime,Rouen
747,Centre de vaccination de Morteau,Morteau
212,Centre de vaccination départemental - Dispensaire Emile Roux,Clermont-Ferrand
2455,Centre de vaccination ambulatoire de Montmagny,Montmagny
3217,Centre de vaccination pédiatrique d'Arcueil,Arcueil
3045,Relai ambulatoire de vaccination - Centre de Santé Polyvalent Rose des Vents,Valence
1656,Centre de vaccination Salle Jacques Redoin de Morée,Morée
3058,Relai ambulatoire de vaccination - Cabinet Médical MEDIVAL,Val-d'Isère
78,Centre de vaccination de Bourg-en-Bresse,Viriat
3031,Relai ambulatoire vaccination -centre sante polyvalent François Héritier ,Veauche
237,CENTRE HOSPITALIER D'ARDECHE NORD (Professionnels de santé uniquement),Annonay
660,Centre de vaccination d'Aurillac - Centre médico-chirurgical de Tronquières - ELSAN,Aurillac
1357,CH Agglomération Montargoise  - réservé aux professionnels de santé en activité,Amilly
1358,CH de Gien - réservé aux professionnels de santé,Gien
1359,CH de Beaugency - réservé aux professionnels en exercice,Beaugency
672,Maison des Associations et du  Bénévolat (MAB),La Mure
692,Centre de vaccination de l'Hôpital Nord-Ouest-Villefranche - Hôpital de Tarare,Tarare
997,CENTRE DE SANTE MUTUALISTE GALLIENI,Bordeaux
1361,CV éphémère - Dun-sur-Auron,Dun-sur-Auron
3063,CENTRE DE VACCINATION -  MAIRIE - MERIGNAC,Mérignac
1696,Centre de Vaccination Limeil La Boite à Clous,Limeil-Brévannes
743,Médipôle de Cluses,Cluses
1365,CMN ST-FEYRE,Sainte-Feyre
768,Centre Hospitalier St Julien en Genevois,Saint-Julien-en-Genevois
725,Centre de vaccination de l'Hôpital de Belleville,Belleville-en-Beaujolais
697,Centre de vaccination COVID - Bourg Saint Maurice,Bourg-Saint-Maurice
2565,COURTHEZON / CENTRE DE VACCINATION COVID-19,Courthézon
3070,Centre de vaccination du territoire de la Haute Vallée,Valgorge
3220,Centre de vaccination pédiatrique de St Maur des Fossés,Sucy-en-Brie
797,Centre de vaccination du CH d'Oyonnax - Centre hospitalier du Haut Bugey,Oyonnax
3219,Centre de vaccination pédiatrique de Nogent sur Marne,Nogent-sur-Marne
1705,Centre vaccinal de l'Eyrieux site secondaire Saint-Martin de Valamas,Saint-Martin-de-Valamas
3081,CV Nouan-le-Fuzelier,Nouan-le-Fuzelier
3181,JOSSELIN - Centre de vaccination,Josselin
296,Lagny Centre de vaccination du Totem ,Lagny-sur-Marne
960,Bonneville - AGORA,Bonneville
1392,Centre vaccination Monistrol ,Monistrol-sur-Loire
3071,Centre de vaccination de Vals les Bains,Vals-les-Bains
1355,Centre hospitalier de Blois - Simone Veil - réservé aux professionnels de santé,Blois
3215,Centre de vaccination pédiatrique de Saint Didier au Mont d'Or,Saint-Didier-au-Mont-d'Or
1592,POIX-TERRON,Poix-Terron
2184,Centre de vaccination de la Métropole Troyenne (Espace Argence),Troyes
1181,Centre de vaccination -Hôpital Pierre Wertheimer - HCL,Bron
1502,Centre MSP le PRISME,Remoulins
1503,centre Costières CPTS Nîmes,Nîmes
975,Espace culturel et sportif FLEURANCE,Fleurance
1418,CV éphémère - Les Aix d'Angillon,Les Aix-d'Angillon
1159,Centre de vaccination des Combrailles - Maison de santé de Pontgibaud,Pontgibaud
3223,CDV31 - Vaccibus Pechbonnieu,Pechbonnieu
3072,Relai ambulatoire de St Just d'Ardèche,Saint-Just-d'Ardèche
1507,Centre MSP Petite Camargue,Vauvert
1276,Centre de vaccination de Réguisheim,Réguisheim
1212,Centre de vaccination  COVID  CH de RIOM,Riom
1223,Centre de vaccination de la Ville de Bron - Espace Roger Pestourie,Bron
1469,Centre de vaccination SOS Médecins Cronenbourg,Strasbourg
1615,Centre de vaccination - Domaine des Lugées,Arès
1216,Centre de vaccination de la Plaine de l'Ain - Espace 1500,Ambérieu-en-Bugey
3083,CV attente (41) 3,Blois
1616,Centre de vaccinations d'Argentat Sur Dordogne,Argentat-sur-Dordogne
1331,Hôpitaux du Léman - Espace gériatrique,Thonon-les-Bains
1408,Centre de vaccination COVID - Hôpital Privé Médipôle de Savoie  (Professionnels de santé uniquement),Challes-les-Eaux
1409,Centre de vaccination COVID - Service de Santé au Travail - CHMS - Chambéry  (Professionnels de santé uniquement),Chambéry
1232,Centre de vaccination de Thionville - Clinique Notre-Dame,Thionville
3077,Centre éphémère de vaccination du Pouzin,Le Pouzin
1767,MA - USN1 / Maison d'Arrêt de Privas,Privas
1774,CP - Centre pénitentiaire de Riom / Centre de Détention de Riom,Riom
1526,Centre de vaccination de VOLVIC,Volvic
627,Mairie du 15e,Paris
3074,Relai ambulatoire CEP St Peray,Saint-Péray
1498,"Dispositif de vaccination ""aller vers"" de la ville de Villeurbanne",Villeurbanne
3085,Centre de vaccination Terre de Camargue,Le Grau-du-Roi
2107,Pilat Rhodanien,Saint-Pierre-de-Bœuf
1604,EPOISSES Salle communale,Époisses
2128,Centre de vaccination COVID Ad Hoc de Saint Alban Leysse,Saint-Alban-Leysse
2129,Centre de vaccination COVID Ad Hoc de Saint Jean d'Arvey,Saint-Jean-d'Arvey
1237,Centre Hospitalier VITRY-LE-FRANCOIS,Vitry-le-François
2047,Relai Ambulatoire de Vaccination - MODANE,Modane
2117,Centre de vaccination de l'Auxerrois- Gymnase Bienvenu MARTIN,Auxerre
2134,Centre de vaccination de Faverges-Seythenex,Faverges-Seythenex
1285,Lieu de vaccination de MONTMEDY (salle des fêtes),Montmédy
2262,Centre de Vaccination de Caluire  - Gymnase Lachaise,Caluire-et-Cuire
2977,Vaccibus ARS41,Blois
3076,Pôle relai ambulatoire de Meyras,Meyras
1618,EHPAD La Madeleine,Bergerac
77,CH Corte Tattone,Corte
2136,Centre de vaccination d'Arnas - Espace sportif de l'Escale ,Arnas
1317,MSP Mouzon,Mouzon
3086,relai ambulatoire de vaccination ROANNE -MSP Roanne-Villerest ,Roanne
2272,Equipe mobile de vaccination de Saint Donat,Saint-Donat-sur-l'Herbasse
700,Centre de vaccination COVID - SAINT JEAN DE MAURIENNE,Saint-Jean-de-Maurienne
1289,Centre de vaccination COSEC Roger Marche VILLERS-SEMEUSE,Villers-Semeuse
2273,Centre de vaccination de Crest Espace Soubeyran,Crest
3091,CV éphémère Luisant,Luisant
2063,Centre de vaccination - VERTOU - Salle Sèvre et Maine,Vertou
3099,Centre de vaccination - Foyer des aînés,Watten
3097,MSP Fleurey-sur-Ouche,Fleurey-sur-Ouche
1608,Centre de vaccination d'Ingwiller ,Ingwiller
147,Urgences du CH de Saint Tropez,Gassin
2288,Centre de vaccination de Lusignan,Lusignan
3226,CDV31 Vaccibus Montesquieu Volvestre,Montesquieu-Volvestre
1291,MSP Buzancy,Buzancy
774,Athis-Mons CVA,Athis-Mons
3092,Centre de vaccination du Fayet - Saint Gervais les Bains,Saint-Gervais-les-Bains
2384,Equipe mobile de vaccination de Donzère -La Chocolaterie,Donzère
3088,RENNES -  Centre Villejean Malifeu,Rennes
3098,Croix Rouge Française Dijon,Quetigny
2476,Centre de vaccination COVID Ad Hoc de Saint Pierre d'Albigny,Saint-Pierre-d'Albigny
777,Savigny-sur-Orge CVA,Savigny-sur-Orge
3100,Savigny-sur-orge RAV ,Savigny-sur-Orge
2294,Clinique du renaison,Roanne
1884,MA - C.H. de Guéret / Maison d'Arrêt de Guéret,Guéret
899,MUZILLAC - Salle du COSEC,Muzillac
809,Centre de Vaccination COVID - NANTES Nord - Salle Erdre,Nantes
3064,Centre de vaccination - Boulevard de Metz,Lille
2522,Centre de vaccination -  Espace Gaston Bachelard (Maison de la vie associative),Valence
3089,RENNES - Centre Plaine de Baud (SDIS),Rennes
841,Centre de vaccination COVID - LES HERBIERS - Espace Herbauges,Les Herbiers
2671,Equipe mobile de vaccination Sauzet,Sauzet
3107,MEGACENTRE SAVOIEXPO,Chambéry
3101,Morangis RAV,Morangis
3078,RAV Noisy-le-Sec : CMS Noisy-le-Sec,Noisy-le-Sec
1739,Centre éphémère site de Hell-Bourg,Salazie
1318,MSP Signy L'Abbaye,Signy-l'Abbaye
1733,Centre médical Toki Eder,Cambo-les-Bains
2526,Centre de vaccination Chamalières,Chamalières
2528,Centre de vaccination de Pont de Veyle - Salle annexe Mairie (à côté de la bibliothèque municipale),Pont-de-Veyle
2656,Centre de vaccination de Civrieux d'Azergues - Gymnase du Centre sportif,Civrieux-d'Azergues
3228,CV éphémère Nogent-le-Roi,Nogent-le-Roi
2043,Centre de vaccination COVID Ad Hoc de YENNE,Yenne
1320,Centre de vaccination d'AUBRIVES,Aubrives
132,CH DIEPPE,Dieppe
3050,Centre de vaccination Ballon Saint Mars,Ballon-Saint Mars
3102,Epinay-sous-Sénart RAV ,Épinay-sous-Sénart
1957,Evian - halle de Passerat - Nv Rte du stade,Évian-les-Bains
1624,EQUIPE MOBILE DE VACCINATION DE L'ARDECHE,Privas
3229,CV éphémère Ouarville,Ouarville
2513,Centre de vaccination de Marnay,Marnay
1265,Centre de vaccination  Etang Saint-Paul ,Saint-Paul
2007,Centre de vaccination mobile - Mulhouse Alsace Agglomération (M2A),Mulhouse
2265,Centre de vaccination - CPTS sud Valence ,Portes-lès-Valence
3080,Relai ambulatoire de St Paul le Jeune,Saint-Paul-le-Jeune
3207,Relai ambulatoire - MSP des soins premiers de Villeurbanne Est,Villeurbanne
3230,Département de la Seine-Maritime – CMS Sotteville-lès-Rouen,Sotteville-lès-Rouen
3208,Relai ambulatoire - Cabinet infirmier ALLITI/LAYGRE,Lyon
28,CH Chaumont,Chaumont
1997,CARHAIX - Pépinière des entreprises,Carhaix-Plouguer
3103,Centre de vaccination - Bordeaux - Hangar 18,Bordeaux
1520,Centre de vaccination de Sézanne,Sézanne
2324,Lieu de vaccination de VAUCOULEURS,Vaucouleurs
2208,centre de vaccination du SDIS - Bassin de Melle,Brioux-sur-Boutonne
2386,Equipe mobile de vaccination Dieulefit salle de la Halle,Dieulefit
2371,Centre d'examen de sante de la CPAM,Cahors
552,Centre de Vaccination de Lure,Lure
2301,Centre de vaccination IPSDE Hautepierre,Strasbourg
2059,Centre de vaccination de Boulay,Boulay-Moselle
3094,Relai ambulatoire de vaccination - Centre de santé du Diaconat Protestant,Valence
532,DIJON Salle Devosge,Dijon
2501,Lycée Brières,Reims
2460,Centre de vaccination COVID Ad Hoc de Montmélian,Montmélian
565,Centre de Vaccination d'Héricourt,Héricourt
2502,Centre vaccination Saint-Flour - Maison de quartier de Besserette,Saint-Flour
2475,Centre de vaccination COVID Ad Hoc de Valgelon-La Rochette,Valgelon-La Rochette
2449,VAL-COUESNON - Ancienne Mairie d'Antrain,Val-Couesnon
2341,Centre de vaccination de Rixheim - Cité des sports,Rixheim
2419,Centre de vaccination de Bischwiller,Bischwiller
1552,"Centre de vaccination de Montigny-les-Metz (Salle de la Paix, Espace Europa)",Montigny-lès-Metz
2474,Les Monts d'Aunay,Les Monts d'Aunay
539,Centre de vaccination de Vesoul,Vesoul
2610,Centre de vaccination de Mauléon,Mauléon-Licharre
542,BEAUNE Gymnase des Blanches Fleurs,Beaune
2603,Centre de vaccination COVID Ad Hoc de Grésy-sur-Aix,Grésy-sur-Aix
2090,Centre de vaccination de Langeac,Langeac
2574,Centre de vaccination de Prévessin-Moëns - Salle polyvalente Gaston Laverrière,Prévessin-Moëns
550,Centre de Vaccination de Luxeuil-les-Bains,Luxeuil-les-Bains
2969,Centre éphémère Mairie de l'Etang Salé,L'Étang-Salé
1083,Centre de Salins les Bains,Salins-les-Bains
2514,Relai ambulatoire de vaccination - MSP Deuil-la-Barre,Deuil-la-Barre
1593,Centre de vaccination de REVIN,Revin
1089,Centre de vaccination d'Orgelet - la Grenette,Orgelet
560,Centre de Vaccination de Gray,Gray
1115,"Centre de vaccination - ""Centre Hospitalier  de Boulogne sur mer""",Boulogne-sur-Mer
556,Cosne Cours Sur Loire- salle Polyvalente,Cosne-Cours-sur-Loire
2653,Centre de vaccination intercommunal - Ambarès et Lagrave - Salle des Fêtes Lagrave,Ambarès-et-Lagrave
2651,Centre de vaccination - Soulac sur Mer - Palais des Congrès ,Soulac-sur-Mer
3093,Centre de vaccination intercommunal de Gallargues,Gallargues-le-Montueux
1087,Centre de Poligny,Poligny
1802,"CP - Unité de soins somatiques et psychiatriques du centre pénitentiaire de CHATEAUROUX ""Le Craquelin"" / Maison Centrale de Saint-Maur",Saint-Maur
3084,Relai ambulatoire vaccination - MSP Sud Grésivaudan,Saint-Marcellin
574,Mairie du 8e,Paris
1635,Centre de vaccination - tour Valeriana,Saint-Valérien
1633,Centre de vaccination - Salle Paul Bert,Villeneuve-l'Archevêque
1384,Centre de Chaussin,Chaussin
2311,Centre de vaccination de Cluny - Salle des Griottons,Cluny
2228,Equipe mobile - CV de Vesoul,Vesoul
2312,Centre de vaccination de Bourbon-Lancy,Bourbon-Lancy
2307,Centre de vaccination de Chagny,Chagny
1614,"Centre de vaccination - Ville de Hirson, -	Salle Aumale",Hirson
234,Centre de vaccination- CH Château-Thierry,Château-Thierry
377,CH Agglomération de Nevers,Nevers
2309,Centre de vaccination de Gergy,Gergy
138,CH ARCACHON,La Teste-de-Buch
2116,Centre de vaccination Espace santé Simone Veil,Saint-Clément
2259,Centre de Saint Laurent en Grandvaux,Saint-Laurent-en-Grandvaux
56,VANNES - CHBA (réservé PS),Vannes
2438,Centre de Vaccination de Jussey,Gevigney-et-Mercey
2473,Centre de vaccination salle polyvalente,Villeneuve-sur-Yonne
254,LANNION - CH (réservé PS),Lannion
95,BREST - CHU Site Cavale Blanche (réservé PS),Brest
2313,Centre de vaccination de La Clayette - Salle des fêtes,La Clayette
3205,Relai ambulatoire - Pharmacie du point du jour,Lyon
3236,Relai ambulatoire - CVI ISBA LYON,Lyon
3082,Relais Pontlevoy,Pontlevoy
3239,centre de vaccination du plateau Matheysin - CPTS LMSI,Susville
84,ST BRIEUC - CH (réservé PS),Saint-Brieuc
918,ST RENAN - ZA Mespaol,Saint-Renan
892,RENNES - Complexe sportif Bréquigny,Rennes
894,AURAY - CH,Auray
897,GRANDCHAMP - Salle multifonctionnelle,Grand-Champ
2282,Centre de vaccination de Thônes - Espace Coeur de Vallée,Thônes
449,BREST - CHU Site Bohars (réservé PS),Bohars
903,Centre de vaccination de Mazamet - Palais des Congrès,Mazamet
3211,Centre de vaccination de l'Hôpital du Gier,Saint-Chamond
887,DINAN - Centre des congrès,Dinan
1009,BREST - Iroise,Brest
920,CHATEAULIN - Espace Penmez,Châteaulin
1275,LESNEVEN - L'atelier,Lesneven
1154,MELGVEN - Salle polyvalente,Melgven
3047,Centre de vaccination - Mairie de Mens,Mens
1450,LIFFRE - Centre social,Liffré
1438,DOL DE BGNE-Club de l'amitié,Dol-de-Bretagne
664,Centre de vaccination - Montalieu - Espace Ninon Vallin,Montalieu-Vercieu
3206,Relai ambulatoire - Pôle infirmier du Point du jour,Lyon
225,Centre de vaccination de Remiremont,Remiremont
2223,VANNES - Grand centre Kercado,Vannes
1992,Centre de vaccination de Wittenheim - Complexe Léo Lagrange,Wittenheim
2120,QUIBERON - Maison des associations,Quiberon
2393,CROZON - Maison pour tous Tal ar Groas,Crozon
2426,BREST - HIA (Keroriou),Brest
2350,CAUDAN - salle de Kergoff,Caudan
1294,CHU de Guadeloupe - Centre réservé aux professionnels de santé,Les Abymes
2338,DINARD - Salle Henri Dunant,Dinard
1368,CV éphémère - Neuvy-sur-Barangeon,Neuvy-sur-Barangeon
2491,Centre de vaccination de Hombourg-Haut - Espace Wendel,Hombourg-Haut
3237,Relai ambulatoire - ADN Santé Lyon,Lyon
157,CHRU Tours - Site de Bretonneau  - CAP Santé Centre de vaccination,Tours
41,Centre de vaccination CPTS - Rives d'Auron,Bourges
496,Centre de vaccination du CHOR,Saint-Paul
